aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts
CJ1,Flatwing,0,-10,41000,0.7,0,1382.3105702388266,240,2740,40737,382.9630919650881,195.84670943004704
CJ1,Flatwing,0,0,41000,0.7,0,1386.4120677703495,240,2740,39763,383.02075225643773,195.9269489396491
CJ1,Flatwing,0,10,41000,0.7,0,1391.028477151979,240,2740,38787,383.0846816168526,196.02175910731054
CJ1,Flatwing,0,20,41000,0.7,0,1394.9406464202652,241,2740,37807,383.1506236628009,196.1320738801162
CJ1,Flatwing,0,-10,41000,0.7,230,1299.605299619286,227,2620,40517,381.9242177600847,196.56883772431885
CJ1,Flatwing,0,0,41000,0.7,230,1304.0843017402046,227,2620,39540,381.983655901943,196.66107670574988
CJ1,Flatwing,0,10,41000,0.7,230,1308.6188117848749,227,2620,38570,382.0363555087663,196.72191520745392
CJ1,Flatwing,0,20,41000,0.7,230,1313.0315057886478,228,2620,37593,382.0955451623655,196.8176781836387
CJ1,Flatwing,0,-10,41000,0.7,460,1170.0688406804616,206,2390,40517,380.22909484571835,196.0007731040149
CJ1,Flatwing,0,0,41000,0.7,460,1174.6218406219393,206,2390,39540,380.2990336133063,196.09584680709645
CJ1,Flatwing,0,10,41000,0.7,460,1179.595224061387,207,2390,38570,380.35474316230284,196.157178613207
CJ1,Flatwing,0,20,41000,0.7,460,1183.621261140145,207,2390,37593,380.42438365427944,196.2558325237917
CJ1,Flatwing,0,-10,41000,0.7,690,1041.2031581873257,186,2160,40517,378.4464663709795,195.41874425788157
CJ1,Flatwing,0,0,41000,0.7,690,1045.7386503994096,186,2160,39540,378.5205112876398,195.5144114371902
CJ1,Flatwing,0,10,41000,0.7,690,1050.619267978585,186,2160,38570,378.5720380809108,195.57386365553205
CJ1,Flatwing,0,20,41000,0.7,690,1055.1610553765024,187,2160,37593,378.6531906041344,195.67557187001754
CJ1,Flatwing,0,-10,41000,0.7,920,912.9483039366391,165,1930,40517,376.56240625357015,194.81978607747027
CJ1,Flatwing,0,0,41000,0.7,920,917.4652020700182,165,1930,39540,376.6408830672179,194.91607554843898
CJ1,Flatwing,0,10,41000,0.7,920,922.3354771092532,166,1930,38570,376.6954742501813,194.9759975351486
CJ1,Flatwing,0,20,41000,0.7,920,926.8579781363447,166,1930,37593,376.78147093766535,195.0784664869858
CJ1,Flatwing,0,-10,41000,0.7,1150,785.254695901548,145,1700,40517,374.56029411446383,194.20060496497155
CJ1,Flatwing,0,0,41000,0.7,1150,789.7551260365664,145,1700,39540,374.6435964091278,194.29755035499497
CJ1,Flatwing,0,10,41000,0.7,1150,794.6953544944803,145,1700,38570,374.70983015961696,194.36050632767223
CJ1,Flatwing,0,20,41000,0.7,1150,799.1988413628928,146,1700,37593,374.8010770847786,194.46377339603978
CJ1,Flatwing,0,-10,41000,0.69,0,1382.3105702388266,240,2740,40737,382.9630919650881,195.84670943004704
CJ1,Flatwing,0,0,41000,0.69,0,1386.4120677703495,240,2740,39763,383.02075225643773,195.9269489396491
CJ1,Flatwing,0,10,41000,0.69,0,1391.028477151979,240,2740,38787,383.0846816168526,196.02175910731054
CJ1,Flatwing,0,20,41000,0.69,0,1394.9406464202652,241,2740,37807,383.1506236628009,196.1320738801162
CJ1,Flatwing,0,-10,41000,0.69,230,1299.605299619286,227,2620,40517,381.9242177600847,196.56883772431885
CJ1,Flatwing,0,0,41000,0.69,230,1304.0843017402046,227,2620,39540,381.983655901943,196.66107670574988
CJ1,Flatwing,0,10,41000,0.69,230,1308.6188117848749,227,2620,38570,382.0363555087663,196.72191520745392
CJ1,Flatwing,0,20,41000,0.69,230,1313.0315057886478,228,2620,37593,382.0955451623655,196.8176781836387
CJ1,Flatwing,0,-10,41000,0.69,460,1170.0688406804616,206,2390,40517,380.22909484571835,196.0007731040149
CJ1,Flatwing,0,0,41000,0.69,460,1174.6218406219393,206,2390,39540,380.2990336133063,196.09584680709645
CJ1,Flatwing,0,10,41000,0.69,460,1179.595224061387,207,2390,38570,380.35474316230284,196.157178613207
CJ1,Flatwing,0,20,41000,0.69,460,1183.621261140145,207,2390,37593,380.42438365427944,196.2558325237917
CJ1,Flatwing,0,-10,41000,0.69,690,1041.2031581873257,186,2160,40517,378.4464663709795,195.41874425788157
CJ1,Flatwing,0,0,41000,0.69,690,1045.7386503994096,186,2160,39540,378.5205112876398,195.5144114371902
CJ1,Flatwing,0,10,41000,0.69,690,1050.619267978585,186,2160,38570,378.5720380809108,195.57386365553205
CJ1,Flatwing,0,20,41000,0.69,690,1055.1610553765024,187,2160,37593,378.6531906041344,195.67557187001754
CJ1,Flatwing,0,-10,41000,0.69,920,912.9483039366391,165,1930,40517,376.56240625357015,194.81978607747027
CJ1,Flatwing,0,0,41000,0.69,920,917.4652020700182,165,1930,39540,376.6408830672179,194.91607554843898
CJ1,Flatwing,0,10,41000,0.69,920,922.3354771092532,166,1930,38570,376.6954742501813,194.9759975351486
CJ1,Flatwing,0,20,41000,0.69,920,926.8579781363447,166,1930,37593,376.78147093766535,195.0784664869858
CJ1,Flatwing,0,-10,41000,0.69,1150,785.254695901548,145,1700,40517,374.56029411446383,194.20060496497155
CJ1,Flatwing,0,0,41000,0.69,1150,789.7551260365664,145,1700,39540,374.6435964091278,194.29755035499497
CJ1,Flatwing,0,10,41000,0.69,1150,794.6953544944803,145,1700,38570,374.70983015961696,194.36050632767223
CJ1,Flatwing,0,20,41000,0.69,1150,799.1988413628928,146,1700,37593,374.8010770847786,194.46377339603978
