# Flight Simulation Results - CJ1 Flatwing
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +10°C
# Approach VAPP: 113.3 kts
# Approach VREF: 87.5 kts
# Generated: 2025-11-06 16:01:18
# Original Data Points: 3113
# Sampled Data Points (2-sec intervals): 7781
# Time Range: 0 - 15560 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,22,3671,159,10590,3340,0,0.001,37.0,113.3,87.5
2,0,takeoff roll,18,0.0,12,12,420,3624,166,10589,3339,988,0.019,36.3,113.3,87.5
4,0,takeoff roll,36,0.0,25,24,839,3576,174,10587,3337,2027,0.038,35.7,113.3,87.5
6,0,takeoff roll,71,0.0,37,36,1229,3528,190,10586,3336,2540,0.056,35.0,113.3,87.5
8,0,takeoff roll,122,0.1,49,48,1588,3480,212,10584,3334,2527,0.074,34.2,113.3,87.5
10,0,takeoff roll,172,0.1,61,59,1948,3432,235,10583,3333,2513,0.092,33.4,113.3,87.5
12,0,takeoff roll,250,0.1,72,70,2238,3385,269,10582,3332,2479,0.109,32.6,113.3,87.5
14,0,takeoff roll,328,0.2,83,81,2528,3339,304,10580,3330,2445,0.126,31.7,113.3,87.5
16,0,takeoff roll,411,0.2,93,91,2667,3300,405,10579,3329,2486,0.141,29.9,113.3,87.5
18,3,3rd segment climb,498,0.3,102,99,2656,3269,572,10578,3328,2602,0.155,27.2,113.3,87.5
20,3,3rd segment climb,586,0.3,111,108,2644,3237,740,10576,3326,2718,0.168,24.6,113.3,87.5
22,3,3rd segment climb,675,0.4,115,112,2645,3216,810,10575,3325,2667,0.175,23.4,113.3,87.5
24,3,3rd segment climb,763,0.5,115,112,2655,3203,799,10574,3324,2480,0.176,23.3,113.3,87.5
26,3,3rd segment climb,852,0.5,116,113,2665,3190,789,10572,3322,2301,0.176,23.3,113.3,87.5
28,3,3rd segment climb,941,0.6,116,113,2662,3184,789,10571,3321,2297,0.177,23.3,113.3,87.5
30,3,3rd segment climb,1030,0.7,116,113,2660,3179,789,10570,3320,2293,0.177,23.2,113.3,87.5
32,3,3rd segment climb,1118,0.7,116,113,2658,3173,789,10569,3319,2289,0.177,23.2,113.3,87.5
34,3,3rd segment climb,1207,0.8,116,113,2655,3168,789,10567,3317,2285,0.178,23.1,113.3,87.5
36,3,3rd segment climb,1295,0.8,117,113,2653,3162,789,10566,3316,2281,0.178,23.0,113.3,87.5
38,3,3rd segment climb,1384,0.9,117,113,2651,3156,789,10565,3315,2277,0.178,23.0,113.3,87.5
40,3,3rd segment climb,1472,1.0,117,113,2648,3151,789,10564,3314,2273,0.178,22.9,113.3,87.5
42,3,3rd segment climb,1565,1.0,122,117,2742,3133,781,10562,3312,2264,0.186,22.8,113.3,87.5
44,4,climb IAS,1662,1.1,130,125,2915,3104,767,10561,3311,2252,0.199,22.7,113.3,87.5
46,4,climb IAS,1760,1.2,139,133,3084,3075,754,10560,3310,2239,0.212,22.5,113.3,87.5
48,4,climb IAS,1869,1.3,147,140,3204,3042,763,10559,3309,2215,0.224,22.1,113.3,87.5
50,4,climb IAS,1978,1.4,155,148,3323,3009,771,10557,3307,2190,0.237,21.7,113.3,87.5
52,4,climb IAS,2091,1.4,163,155,3414,2977,789,10556,3306,2167,0.249,21.2,113.3,87.5
54,4,climb IAS,2207,1.5,171,163,3483,2946,814,10555,3305,2144,0.261,20.6,113.3,87.5
56,4,climb IAS,2324,1.6,178,170,3550,2915,840,10554,3304,2121,0.273,20.1,113.3,87.5
58,4,climb IAS,2444,1.7,185,176,3576,2886,874,10553,3303,2099,0.284,19.4,113.3,87.5
60,4,climb IAS,2563,1.8,193,183,3601,2858,908,10552,3302,2078,0.295,18.8,113.3,87.5
62,4,climb IAS,2683,2.0,199,189,3607,2831,944,10550,3300,2058,0.306,18.2,113.3,87.5
64,4,climb IAS,2804,2.1,206,195,3595,2805,983,10549,3299,2039,0.316,17.5,113.3,87.5
66,4,climb IAS,2924,2.2,212,200,3583,2780,1020,10548,3298,2020,0.325,16.9,113.3,87.5
68,4,climb IAS,3041,2.3,212,200,3555,2770,1027,10547,3297,2007,0.326,16.8,113.3,87.5
70,4,climb IAS,3158,2.4,213,200,3528,2761,1034,10546,3296,1995,0.327,16.6,113.3,87.5
72,4,climb IAS,3276,2.5,213,200,3512,2753,1037,10545,3295,1987,0.327,16.5,113.3,87.5
74,4,climb IAS,3392,2.7,214,200,3505,2746,1037,10544,3294,1982,0.328,16.4,113.3,87.5
76,4,climb IAS,3509,2.8,214,200,3498,2739,1037,10543,3293,1977,0.329,16.4,113.3,87.5
78,4,climb IAS,3625,2.9,214,200,3491,2733,1037,10542,3292,1972,0.329,16.3,113.3,87.5
80,4,climb IAS,3742,3.0,215,200,3484,2726,1036,10540,3290,1968,0.33,16.2,113.3,87.5
82,4,climb IAS,3858,3.1,215,200,3477,2720,1036,10539,3289,1963,0.331,16.2,113.3,87.5
84,4,climb IAS,3973,3.3,215,200,3470,2713,1036,10538,3288,1958,0.331,16.1,113.3,87.5
86,4,climb IAS,4089,3.4,216,200,3463,2707,1036,10537,3287,1953,0.332,16.1,113.3,87.5
88,4,climb IAS,4204,3.5,216,200,3456,2700,1036,10536,3286,1949,0.333,16.0,113.3,87.5
90,4,climb IAS,4319,3.6,216,200,3449,2694,1036,10535,3285,1944,0.334,15.9,113.3,87.5
92,4,climb IAS,4434,3.7,217,200,3441,2687,1036,10534,3284,1939,0.334,15.9,113.3,87.5
94,4,climb IAS,4548,3.9,217,200,3434,2681,1036,10533,3283,1935,0.335,15.8,113.3,87.5
96,4,climb IAS,4663,4.0,218,200,3427,2674,1035,10532,3282,1930,0.336,15.7,113.3,87.5
98,4,climb IAS,4777,4.1,218,200,3420,2668,1035,10531,3281,1925,0.336,15.7,113.3,87.5
100,4,climb IAS,4891,4.2,218,200,3413,2661,1035,10530,3280,1921,0.337,15.6,113.3,87.5
102,4,climb IAS,5004,4.3,219,200,3406,2655,1035,10529,3279,1916,0.338,15.6,113.3,87.5
104,4,climb IAS,5117,4.5,219,200,3398,2648,1035,10528,3278,1911,0.338,15.5,113.3,87.5
106,4,climb IAS,5231,4.6,219,200,3391,2642,1035,10527,3277,1907,0.339,15.4,113.3,87.5
108,4,climb IAS,5343,4.7,220,200,3384,2635,1035,10525,3275,1902,0.34,15.4,113.3,87.5
110,4,climb IAS,5456,4.8,220,200,3377,2629,1035,10524,3274,1898,0.341,15.3,113.3,87.5
112,4,climb IAS,5568,5.0,220,200,3369,2623,1035,10523,3273,1893,0.341,15.3,113.3,87.5
114,4,climb IAS,5681,5.1,221,200,3362,2616,1034,10522,3272,1888,0.342,15.2,113.3,87.5
116,4,climb IAS,5793,5.2,221,200,3355,2610,1034,10521,3271,1884,0.343,15.1,113.3,87.5
118,4,climb IAS,5904,5.3,222,200,3347,2604,1034,10520,3270,1879,0.343,15.1,113.3,87.5
120,4,climb IAS,6016,5.4,222,200,3340,2597,1034,10519,3269,1875,0.344,15.0,113.3,87.5
122,4,climb IAS,6127,5.6,222,200,3332,2591,1034,10518,3268,1870,0.345,15.0,113.3,87.5
124,4,climb IAS,6237,5.7,223,200,3325,2585,1034,10517,3267,1866,0.346,14.9,113.3,87.5
126,4,climb IAS,6348,5.8,223,200,3318,2578,1034,10516,3266,1861,0.346,14.9,113.3,87.5
128,4,climb IAS,6459,5.9,223,200,3310,2572,1034,10515,3265,1857,0.347,14.8,113.3,87.5
130,4,climb IAS,6569,6.1,224,200,3303,2566,1033,10514,3264,1852,0.348,14.7,113.3,87.5
132,4,climb IAS,6679,6.2,224,200,3295,2560,1033,10513,3263,1848,0.348,14.7,113.3,87.5
134,4,climb IAS,6788,6.3,225,200,3288,2554,1033,10512,3262,1843,0.349,14.6,113.3,87.5
136,4,climb IAS,6898,6.4,225,200,3280,2547,1033,10511,3261,1839,0.35,14.6,113.3,87.5
138,4,climb IAS,7007,6.6,225,200,3273,2541,1033,10510,3260,1834,0.35,14.5,113.3,87.5
140,4,climb IAS,7116,6.7,226,200,3266,2535,1033,10509,3259,1830,0.351,14.4,113.3,87.5
142,4,climb IAS,7224,6.8,226,200,3258,2529,1033,10508,3258,1825,0.352,14.4,113.3,87.5
144,4,climb IAS,7333,6.9,226,200,3250,2523,1033,10507,3257,1821,0.353,14.3,113.3,87.5
146,4,climb IAS,7441,7.1,227,200,3243,2517,1033,10506,3256,1816,0.353,14.3,113.3,87.5
148,4,climb IAS,7549,7.2,227,200,3235,2510,1032,10505,3255,1812,0.354,14.2,113.3,87.5
150,4,climb IAS,7657,7.3,227,200,3228,2504,1032,10504,3254,1808,0.355,14.2,113.3,87.5
152,4,climb IAS,7764,7.4,228,200,3220,2498,1032,10503,3253,1803,0.355,14.1,113.3,87.5
154,4,climb IAS,7871,7.6,228,200,3213,2492,1032,10502,3252,1799,0.356,14.0,113.3,87.5
156,4,climb IAS,7978,7.7,229,200,3205,2486,1032,10501,3251,1794,0.357,14.0,113.3,87.5
158,4,climb IAS,8085,7.8,229,200,3198,2480,1032,10500,3250,1790,0.358,13.9,113.3,87.5
160,4,climb IAS,8191,8.0,229,200,3190,2474,1032,10499,3249,1786,0.358,13.9,113.3,87.5
162,4,climb IAS,8297,8.1,230,200,3182,2468,1032,10498,3248,1781,0.359,13.8,113.3,87.5
164,4,climb IAS,8403,8.2,230,200,3175,2462,1031,10497,3247,1777,0.36,13.8,113.3,87.5
166,4,climb IAS,8509,8.3,230,200,3167,2456,1031,10496,3246,1773,0.36,13.7,113.3,87.5
168,4,climb IAS,8614,8.5,231,200,3159,2450,1031,10495,3245,1768,0.361,13.6,113.3,87.5
170,4,climb IAS,8719,8.6,231,200,3152,2444,1031,10494,3244,1764,0.362,13.6,113.3,87.5
172,4,climb IAS,8824,8.7,231,200,3144,2438,1031,10493,3243,1760,0.363,13.5,113.3,87.5
174,4,climb IAS,8929,8.8,232,200,3136,2432,1031,10492,3242,1756,0.363,13.5,113.3,87.5
176,4,climb IAS,9033,9.0,232,200,3129,2427,1031,10491,3241,1751,0.364,13.4,113.3,87.5
178,4,climb IAS,9137,9.1,233,200,3121,2421,1031,10490,3240,1747,0.365,13.4,113.3,87.5
180,4,climb IAS,9241,9.2,233,200,3113,2415,1030,10489,3239,1743,0.365,13.3,113.3,87.5
182,4,climb IAS,9345,9.4,233,200,3106,2409,1030,10488,3238,1739,0.366,13.3,113.3,87.5
184,4,climb IAS,9448,9.5,234,200,3098,2403,1030,10487,3237,1734,0.367,13.2,113.3,87.5
186,4,climb IAS,9551,9.6,234,200,3090,2397,1030,10486,3236,1730,0.368,13.1,113.3,87.5
188,4,climb IAS,9654,9.8,234,200,3082,2392,1030,10485,3235,1726,0.368,13.1,113.3,87.5
190,4,climb IAS,9756,9.9,235,200,3075,2386,1030,10484,3234,1722,0.369,13.0,113.3,87.5
192,4,climb IAS,9859,10.0,235,200,3067,2380,1030,10483,3233,1718,0.37,13.0,113.3,87.5
194,4,climb IAS,9961,10.1,236,200,3059,2374,1030,10482,3232,1714,0.37,12.9,113.3,87.5
196,4,climb IAS,10063,10.3,236,200,3052,2369,1030,10481,3231,1709,0.371,12.9,113.3,87.5
198,4,climb IAS,10164,10.4,236,200,3044,2363,1029,10481,3231,1705,0.372,12.8,113.3,87.5
200,4,climb IAS,10265,10.5,237,200,3036,2357,1029,10480,3230,1701,0.373,12.8,113.3,87.5
202,4,climb IAS,10366,10.7,237,200,3028,2351,1029,10479,3229,1697,0.373,12.7,113.3,87.5
204,4,climb IAS,10467,10.8,237,200,3020,2346,1029,10478,3228,1693,0.374,12.7,113.3,87.5
206,4,climb IAS,10568,10.9,238,200,3013,2340,1029,10477,3227,1689,0.375,12.6,113.3,87.5
208,4,climb IAS,10668,11.1,238,200,3005,2334,1029,10476,3226,1685,0.376,12.6,113.3,87.5
210,4,climb IAS,10768,11.2,238,200,2997,2329,1029,10475,3225,1681,0.376,12.5,113.3,87.5
212,4,climb IAS,10867,11.3,239,200,2989,2323,1029,10474,3224,1677,0.377,12.5,113.3,87.5
214,4,climb IAS,10967,11.5,239,200,2981,2318,1028,10473,3223,1673,0.378,12.4,113.3,87.5
216,4,climb IAS,11066,11.6,240,200,2974,2312,1028,10472,3222,1669,0.378,12.4,113.3,87.5
218,4,climb IAS,11165,11.7,240,200,2966,2307,1028,10471,3221,1665,0.379,12.3,113.3,87.5
220,4,climb IAS,11264,11.9,240,200,2958,2301,1028,10470,3220,1661,0.38,12.2,113.3,87.5
222,4,climb IAS,11362,12.0,241,200,2950,2296,1028,10469,3219,1657,0.381,12.2,113.3,87.5
224,4,climb IAS,11460,12.1,241,200,2942,2290,1028,10468,3218,1653,0.381,12.1,113.3,87.5
226,4,climb IAS,11558,12.3,241,200,2935,2285,1028,10468,3218,1649,0.382,12.1,113.3,87.5
228,4,climb IAS,11656,12.4,242,200,2927,2279,1028,10467,3217,1645,0.383,12.0,113.3,87.5
230,4,climb IAS,11753,12.5,242,200,2919,2274,1027,10466,3216,1641,0.383,12.0,113.3,87.5
232,4,climb IAS,11850,12.7,242,200,2911,2268,1027,10465,3215,1637,0.384,11.9,113.3,87.5
234,4,climb IAS,11947,12.8,243,200,2903,2263,1027,10464,3214,1633,0.385,11.9,113.3,87.5
236,4,climb IAS,12044,12.9,243,200,2895,2257,1027,10463,3213,1629,0.386,11.8,113.3,87.5
238,4,climb IAS,12140,13.1,244,200,2888,2252,1027,10462,3212,1625,0.386,11.8,113.3,87.5
240,4,climb IAS,12236,13.2,244,200,2880,2247,1027,10461,3211,1621,0.387,11.7,113.3,87.5
242,4,climb IAS,12332,13.3,244,200,2872,2241,1027,10460,3210,1618,0.388,11.7,113.3,87.5
244,4,climb IAS,12427,13.5,245,200,2864,2236,1027,10459,3209,1614,0.388,11.6,113.3,87.5
