aircraft,mod,flap,isa_dev,cruise_alt,mach,kias,ktas,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
C208B,Flatwing,0,-10,25000,0.0,130.77513533141368,190.0,0,15,230,False,2200,6785,ok,,1341.0,448.0,1955.0,24903.0,186.95436011647521,127.0,24903.0,False,0.30897394950414836,False,245.0
C208B,Flatwing,0,-10,25000,0.0,123.7991295671011,180.0,0,15,230,False,2200,6785,ok,,1310.0,448.0,1955.0,24903.0,179.7291040773544,124.0,24903.0,False,0.2970329822370837,False,245.0
C208B,Flatwing,0,-10,25000,0.0,116.83806469017007,170.0,0,15,230,False,2200,6785,ok,,1243.0,448.0,1955.0,24903.0,169.75125465208436,117.0,24903.0,False,0.28054288517509113,False,245.0
C208B,Flatwing,0,-10,25000,0.0,109.89115427441068,160.0,0,15,230,False,2200,6785,ok,,1176.0,448.0,1955.0,24903.0,159.75698491529323,110.0,24903.0,False,0.2640256507492008,False,245.0
C208B,Flatwing,0,-10,25000,0.0,102.95760441536926,150.0,0,15,230,False,2200,6785,ok,,1109.0,448.0,1955.0,24903.0,151.00534134570754,103.0,24903.0,False,0.24956206789046018,False,245.0
C208B,Flatwing,0,-10,25000,0.0,96.03661417024496,140.0,0,15,230,False,2200,6785,ok,,1041.0,448.0,1955.0,24903.0,151.00534134570754,96.0,24903.0,False,0.24956206789046018,False,245.0
C208B,Flatwing,0,-10,25000,0.0,130.77513533141368,190.0,267,15,230,False,2200,7052,ok,,1332.0,447.0,1955.0,24906.0,186.2063217930185,126.0,24906.0,False,0.3077402793454102,False,245.0
C208B,Flatwing,0,-10,25000,0.0,123.7991295671011,180.0,267,15,230,False,2200,7052,ok,,1308.0,447.0,1955.0,24906.0,179.73442128502774,124.0,24906.0,False,0.29704427047177673,False,245.0
C208B,Flatwing,0,-10,25000,0.0,116.83806469017007,170.0,267,15,230,False,2200,7052,ok,,1241.0,447.0,1955.0,24906.0,169.74955661636284,117.0,24906.0,False,0.2805424406049227,False,245.0
C208B,Flatwing,0,-10,25000,0.0,109.89115427441068,160.0,267,15,230,False,2200,7052,ok,,1174.0,447.0,1955.0,24906.0,159.7625966084662,110.0,24906.0,False,0.26403714780365123,False,245.0
C208B,Flatwing,0,-10,25000,0.0,102.95760441536926,150.0,267,15,230,False,2200,7052,ok,,1107.0,447.0,1955.0,24906.0,151.01307617387118,103.0,24906.0,False,0.2495769520554444,False,245.0
C208B,Flatwing,0,-10,25000,0.0,96.03661417024496,140.0,267,15,230,False,2200,7052,ok,,1041.0,447.0,1955.0,24906.0,151.01307617387118,96.0,24906.0,False,0.2495769520554444,False,245.0
C208B,Flatwing,0,-10,25000,0.0,130.77513533141368,190.0,533,15,230,False,2200,7318,ok,,1274.0,431.0,1955.0,22904.0,183.4208493625,130.0,22904.0,True,0.30067509225278183,False,245.0
C208B,Flatwing,0,-10,25000,0.0,123.7991295671011,180.0,533,15,230,False,2200,7318,ok,,1220.0,431.0,1955.0,22904.0,173.7512554183751,124.0,22904.0,True,0.2848240804332329,False,245.0
C208B,Flatwing,0,-10,25000,0.0,116.83806469017007,170.0,533,15,230,False,2200,7318,ok,,1158.0,431.0,1955.0,22904.0,164.09520587350937,117.0,22904.0,True,0.26899527145218843,False,245.0
C208B,Flatwing,0,-10,25000,0.0,109.89115427441068,160.0,533,15,230,False,2200,7318,ok,,1095.0,431.0,1955.0,22904.0,154.4143354628364,110.0,22904.0,True,0.25312577453330964,False,245.0
C208B,Flatwing,0,-10,25000,0.0,102.95760441536926,150.0,533,15,230,False,2200,7318,ok,,1032.0,431.0,1955.0,22904.0,145.6583465508061,103.0,22904.0,True,0.23877240204027347,False,245.0
C208B,Flatwing,0,-10,25000,0.0,96.03661417024496,140.0,533,15,230,False,2200,7318,ok,,970.0,431.0,1955.0,22904.0,145.6583465508061,96.0,22904.0,True,0.23877240204027347,False,245.0
C208B,Flatwing,0,-10,25000,0.0,130.77513533141368,190.0,800,15,230,False,2200,7585,ok,,1266.0,431.0,1955.0,22900.0,183.40765223523164,129.0,22900.0,True,0.30064824062934564,False,245.0
C208B,Flatwing,0,-10,25000,0.0,123.7991295671011,180.0,800,15,230,False,2200,7585,ok,,1218.0,431.0,1955.0,22900.0,173.737933436471,124.0,22900.0,True,0.28479729924932484,False,245.0
C208B,Flatwing,0,-10,25000,0.0,116.83806469017007,170.0,800,15,230,False,2200,7585,ok,,1156.0,431.0,1955.0,22900.0,164.0707150557663,117.0,22900.0,True,0.26895045664206624,False,245.0
C208B,Flatwing,0,-10,25000,0.0,109.89115427441068,160.0,800,15,230,False,2200,7585,ok,,1093.0,431.0,1955.0,22900.0,154.40313527976073,110.0,22900.0,True,0.2531030216229859,False,245.0
C208B,Flatwing,0,-10,25000,0.0,102.95760441536926,150.0,800,15,230,False,2200,7585,ok,,1031.0,431.0,1955.0,22900.0,145.6490621889551,103.0,22900.0,True,0.23875303872414894,False,245.0
C208B,Flatwing,0,-10,25000,0.0,96.03661417024496,140.0,800,15,230,False,2200,7585,ok,,969.0,431.0,1955.0,22900.0,145.6490621889551,96.0,22900.0,True,0.23875303872414894,False,245.0
C208B,Flatwing,0,-10,25000,0.0,130.77513533141368,190.0,1067,15,230,False,2200,7852,ok,,1196.0,415.0,1955.0,20904.0,177.41740127968856,131.0,20904.0,True,0.2885115068824267,False,245.0
C208B,Flatwing,0,-10,25000,0.0,123.7991295671011,180.0,1067,15,230,False,2200,7852,ok,,1138.0,415.0,1955.0,20904.0,168.05330923301372,124.0,20904.0,True,0.27328386693569506,False,245.0
C208B,Flatwing,0,-10,25000,0.0,116.83806469017007,170.0,1067,15,230,False,2200,7852,ok,,1079.0,415.0,1955.0,20904.0,158.6857521367509,117.0,20904.0,True,0.2580505922165519,False,245.0
C208B,Flatwing,0,-10,25000,0.0,109.89115427441068,160.0,1067,15,230,False,2200,7852,ok,,1021.0,415.0,1955.0,20904.0,149.3221523905781,110.0,20904.0,True,0.24282375283593532,False,245.0
C208B,Flatwing,0,-10,25000,0.0,102.95760441536926,150.0,1067,15,230,False,2200,7852,ok,,962.0,415.0,1955.0,20904.0,140.5620802740572,103.0,20904.0,True,0.22857835419687,False,245.0
C208B,Flatwing,0,-10,25000,0.0,96.03661417024496,140.0,1067,15,230,False,2200,7852,ok,,904.0,415.0,1955.0,20904.0,140.5620802740572,96.0,20904.0,True,0.22857835419687,False,245.0
C208B,Flatwing,0,-10,25000,0.0,130.77513533141368,190.0,1333,15,230,False,2200,8118,ok,,1194.0,415.0,1955.0,20903.0,177.41348506878393,131.0,20903.0,True,0.2885036049716501,False,245.0
C208B,Flatwing,0,-10,25000,0.0,123.7991295671011,180.0,1333,15,230,False,2200,8118,ok,,1136.0,415.0,1955.0,20903.0,168.04964890207248,124.0,20903.0,True,0.2732764620664037,False,245.0
C208B,Flatwing,0,-10,25000,0.0,116.83806469017007,170.0,1333,15,230,False,2200,8118,ok,,1078.0,415.0,1955.0,20903.0,158.68828001710503,117.0,20903.0,True,0.25805333136844444,False,245.0
C208B,Flatwing,0,-10,25000,0.0,109.89115427441068,160.0,1333,15,230,False,2200,8118,ok,,1019.0,415.0,1955.0,20903.0,149.31883029171644,110.0,20903.0,True,0.24281705989039284,False,245.0
C208B,Flatwing,0,-10,25000,0.0,102.95760441536926,150.0,1333,15,230,False,2200,8118,ok,,961.0,415.0,1955.0,20903.0,140.56051684059318,103.0,20903.0,True,0.22857459684909076,False,245.0
C208B,Flatwing,0,-10,25000,0.0,96.03661417024496,140.0,1333,15,230,False,2200,8118,ok,,903.0,415.0,1955.0,20903.0,140.56051684059318,96.0,20903.0,True,0.22857459684909076,False,245.0
