# Flight Simulation Results - CJ Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# Approach VAPP: 111.2 kts
# Approach VREF: 85.5 kts
# Generated: 2025-11-06 13:59:24
# Original Data Points: 1734
# Sampled Data Points (5-sec intervals): 1734
# Time Range: 0 - 9965 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Segment,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
340,4,13713,17.3,221,180,1975,2275,830,9736,3157,1641,0.351,15.0,,
345,4,13878,17.6,221,180,1968,2266,829,9734,3155,1634,0.352,14.9,,
350,4,14041,17.9,222,180,1960,2257,829,9731,3153,1627,0.353,14.8,,
355,4,14204,18.3,223,180,1953,2247,829,9729,3151,1621,0.354,14.7,,
360,4,14367,18.6,223,180,1946,2238,829,9727,3148,1614,0.355,14.6,,
365,4,14528,18.9,224,180,1938,2229,829,9725,3146,1607,0.356,14.5,,
370,4,14690,19.2,224,180,1931,2219,829,9722,3144,1601,0.357,14.5,,
375,4,14850,19.5,225,180,1924,2210,828,9720,3142,1594,0.359,14.4,,
380,4,15010,19.8,225,180,1916,2201,828,9718,3139,1587,0.36,14.3,,
385,4,15169,20.1,226,180,1909,2192,828,9716,3137,1581,0.361,14.2,,
390,4,15328,20.4,226,180,1902,2183,828,9714,3135,1574,0.362,14.1,,
395,4,15486,20.8,227,180,1894,2174,828,9712,3133,1568,0.363,14.0,,
400,4,15644,21.1,228,180,1887,2165,827,9709,3131,1561,0.364,13.9,,
405,4,15801,21.4,228,180,1880,2156,827,9707,3129,1555,0.365,13.8,,
410,4,15957,21.7,229,180,1872,2147,827,9705,3126,1548,0.366,13.7,,
415,4,16113,22.0,229,180,1865,2138,827,9703,3124,1542,0.368,13.6,,
420,4,16268,22.3,230,180,1857,2129,827,9701,3122,1536,0.369,13.5,,
425,4,16422,22.7,230,180,1850,2121,827,9699,3120,1529,0.37,13.5,,
430,4,16576,23.0,231,180,1843,2112,826,9697,3118,1523,0.371,13.4,,
435,4,16729,23.3,232,180,1835,2103,826,9694,3116,1517,0.372,13.3,,
440,4,16881,23.6,232,180,1828,2094,826,9692,3114,1510,0.373,13.2,,
445,4,17033,23.9,233,180,1820,2086,826,9690,3112,1504,0.374,13.1,,
450,4,17185,24.3,233,180,1813,2077,826,9688,3109,1498,0.375,13.0,,
455,4,17335,24.6,234,180,1805,2069,826,9686,3107,1492,0.377,12.9,,
460,4,17486,24.9,234,180,1798,2060,825,9684,3105,1486,0.378,12.9,,
465,4,17635,25.2,235,180,1790,2052,825,9682,3103,1480,0.379,12.8,,
470,4,17784,25.6,235,180,1783,2043,825,9680,3101,1474,0.38,12.7,,
475,4,17932,25.9,236,180,1776,2035,825,9678,3099,1468,0.381,12.6,,
480,4,18080,26.2,237,180,1768,2027,825,9676,3097,1462,0.382,12.5,,
485,4,18227,26.6,237,180,1761,2019,825,9674,3095,1456,0.383,12.4,,
490,4,18373,26.9,238,180,1753,2010,824,9672,3093,1450,0.384,12.4,,
495,4,18519,27.2,238,180,1746,2002,824,9670,3091,1444,0.386,12.3,,
500,4,18664,27.6,239,180,1738,1994,824,9668,3089,1438,0.387,12.2,,
505,4,18808,27.9,239,180,1731,1986,824,9666,3087,1432,0.388,12.1,,
510,4,18952,28.2,240,180,1723,1978,824,9664,3085,1426,0.389,12.0,,
515,4,19095,28.6,240,180,1716,1970,823,9662,3083,1421,0.39,11.9,,
520,4,19238,28.9,241,180,1708,1962,823,9660,3081,1415,0.391,11.9,,
525,4,19380,29.2,242,180,1701,1954,823,9658,3079,1409,0.392,11.8,,
530,4,19521,29.6,242,180,1694,1946,823,9656,3077,1403,0.393,11.7,,
535,4,19662,29.9,243,180,1686,1938,823,9654,3075,1398,0.395,11.6,,
540,4,19802,30.2,243,180,1679,1930,823,9652,3073,1392,0.396,11.6,,
545,4,19942,30.6,244,180,1671,1923,822,9650,3072,1386,0.397,11.5,,
550,4,20081,30.9,244,180,1664,1915,822,9648,3070,1381,0.398,11.4,,
555,4,20219,31.2,245,180,1656,1907,822,9646,3068,1375,0.399,11.3,,
560,4,20357,31.6,245,180,1649,1900,822,9644,3066,1370,0.4,11.2,,
565,4,20494,31.9,246,180,1642,1892,822,9643,3064,1364,0.401,11.2,,
570,4,20630,32.3,247,180,1634,1884,822,9641,3062,1359,0.402,11.1,,
575,4,20766,32.6,247,180,1627,1877,821,9639,3060,1354,0.403,11.0,,
580,4,20901,33.0,248,180,1619,1869,821,9637,3058,1348,0.405,10.9,,
585,4,21036,33.3,248,180,1612,1862,821,9635,3056,1343,0.406,10.9,,
590,4,21170,33.6,249,180,1605,1855,821,9633,3055,1337,0.407,10.8,,
595,4,21303,34.0,249,180,1597,1847,821,9631,3053,1332,0.408,10.7,,
600,4,21436,34.3,250,180,1590,1840,820,9630,3051,1327,0.409,10.6,,
605,4,21568,34.7,250,180,1582,1833,820,9628,3049,1322,0.41,10.6,,
610,4,21699,35.0,251,180,1575,1826,820,9626,3047,1316,0.411,10.5,,
615,4,21830,35.4,251,180,1568,1818,820,9624,3045,1311,0.412,10.4,,
620,4,21960,35.7,252,180,1560,1811,820,9622,3044,1306,0.413,10.4,,
625,4,22090,36.1,252,180,1553,1804,820,9620,3042,1301,0.414,10.3,,
630,4,22219,36.4,253,180,1546,1797,819,9619,3040,1296,0.416,10.2,,
635,4,22348,36.8,254,180,1538,1790,819,9617,3038,1291,0.417,10.1,,
640,4,22475,37.1,254,180,1531,1783,819,9615,3036,1286,0.418,10.1,,
645,4,22603,37.5,255,180,1524,1776,819,9613,3035,1281,0.419,10.0,,
650,4,22729,37.8,255,180,1516,1769,819,9611,3033,1276,0.42,9.9,,
655,4,22855,38.2,256,180,1509,1762,819,9610,3031,1271,0.421,9.9,,
660,4,22981,38.6,256,180,1502,1756,818,9608,3029,1266,0.422,9.8,,
665,4,23106,38.9,257,180,1495,1749,818,9606,3028,1261,0.423,9.7,,
670,4,23230,39.3,257,180,1487,1742,818,9604,3026,1256,0.424,9.7,,
675,4,23353,39.6,258,180,1480,1735,818,9603,3024,1251,0.425,9.6,,
680,4,23476,40.0,258,180,1473,1729,818,9601,3022,1247,0.426,9.5,,
685,4,23599,40.3,259,180,1466,1722,817,9599,3021,1242,0.428,9.5,,
690,4,23721,40.7,259,180,1459,1716,817,9598,3019,1237,0.429,9.4,,
695,4,23842,41.1,260,180,1451,1709,817,9596,3017,1232,0.43,9.3,,
700,4,23962,41.4,260,180,1444,1703,817,9594,3015,1228,0.431,9.3,,
