aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts
C208B,Flatwing,0,0,25000,0.0,0,1375.3478892484304,458.0,1955.0,24903.0,187.35452648068264,124.56289980639869
C208B,Flatwing,0,0,25000,0.0,0,1342.8002455053,458.0,1955.0,24903.0,179.72289703269524,121.26950928234001
C208B,Flatwing,0,0,25000,0.0,0,1274.222239463593,458.0,1955.0,24903.0,169.7444053374475,114.44715790521852
C208B,Flatwing,0,0,25000,0.0,0,1205.586675759853,458.0,1955.0,24903.0,159.7519580086684,107.63927863786714
C208B,Flatwing,0,0,25000,0.0,0,1137.0000545594887,458.0,1955.0,24903.0,154.3104298488414,100.84505727769427
C208B,Flatwing,0,0,25000,0.0,0,1068.3467714625679,458.0,1955.0,24903.0,154.3104298488414,94.06367287702052
C208B,Flatwing,0,20,25000,0.0,0,1382.5168614669456,463.0,1955.0,22904.0,183.22985826430255,122.85495858175426
C208B,Flatwing,0,20,25000,0.0,0,1317.388408185632,463.0,1955.0,22904.0,173.56941799050094,116.29021528260554
C208B,Flatwing,0,20,25000,0.0,0,1249.897938280986,463.0,1955.0,22904.0,163.90769584656388,109.74133991778417
C208B,Flatwing,0,20,25000,0.0,0,1182.4640906449413,463.0,1955.0,22904.0,155.3844506745654,103.20748879960783
C208B,Flatwing,0,20,25000,0.0,0,1115.1766036735398,463.0,1955.0,22904.0,155.3844506745654,96.68781174938448
C208B,Flatwing,0,20,25000,0.0,0,1047.8901391052937,463.0,1955.0,22904.0,155.3844506745654,90.181452479236
C208B,Flatwing,0,0,25000,0.0,267,1311.1513529374731,441.0,1955.0,22901.0,183.34969685373062,128.08210327213584
C208B,Flatwing,0,0,25000,0.0,267,1252.1189076439853,441.0,1955.0,22901.0,173.68335454349784,121.26950928234004
C208B,Flatwing,0,0,25000,0.0,267,1187.7057809473906,441.0,1955.0,22901.0,164.0272754688478,114.44715790521852
C208B,Flatwing,0,0,25000,0.0,267,1123.4204653816828,441.0,1955.0,22901.0,154.35380001882277,107.63927863786714
C208B,Flatwing,0,0,25000,0.0,267,1059.1795606920532,441.0,1955.0,22901.0,148.7985539754431,100.84505727769427
C208B,Flatwing,0,0,25000,0.0,267,994.8794352228574,441.0,1955.0,22901.0,148.7985539754431,94.06367287702052
C208B,Flatwing,0,20,25000,0.0,267,1290.850899573087,446.0,1955.0,20900.0,177.05566017145992,122.85495858175426
C208B,Flatwing,0,20,25000,0.0,267,1227.5455933330488,446.0,1955.0,20900.0,167.70130352500337,116.29021528260554
C208B,Flatwing,0,20,25000,0.0,267,1164.3910490285484,446.0,1955.0,20900.0,158.35212652353948,109.74133991778416
C208B,Flatwing,0,20,25000,0.0,267,1101.256226793891,446.0,1955.0,20900.0,149.8148081325195,103.20748879960783
C208B,Flatwing,0,20,25000,0.0,267,1038.229573965394,446.0,1955.0,20900.0,149.8148081325195,96.68781174938447
C208B,Flatwing,0,20,25000,0.0,267,975.035953855826,446.0,1955.0,20900.0,149.8148081325195,90.181452479236
C208B,Flatwing,0,0,25000,0.0,533,1304.890896459608,441.0,1955.0,22902.0,183.35167202237938,127.43567511795646
C208B,Flatwing,0,0,25000,0.0,533,1249.9902325015707,441.0,1955.0,22902.0,173.68969635623637,121.26950928234002
C208B,Flatwing,0,0,25000,0.0,533,1186.0399431083745,441.0,1955.0,22902.0,164.0343055296518,114.44715790521852
C208B,Flatwing,0,0,25000,0.0,533,1122.0213271764944,441.0,1955.0,22902.0,154.3554795403077,107.63927863786714
C208B,Flatwing,0,0,25000,0.0,533,1058.1424467122517,441.0,1955.0,22902.0,148.8022796643127,100.84505727769427
C208B,Flatwing,0,0,25000,0.0,533,994.2014733321915,441.0,1955.0,22902.0,148.8022796643127,94.06367287702052
C208B,Flatwing,0,20,25000,0.0,533,1288.8349880673816,446.0,1955.0,20902.0,177.05959081892206,122.85495858175427
C208B,Flatwing,0,20,25000,0.0,533,1226.0038335716752,446.0,1955.0,20902.0,167.715194954158,116.29021528260554
C208B,Flatwing,0,20,25000,0.0,533,1163.0907119984934,446.0,1955.0,20902.0,158.35660840358938,109.74133991778417
C208B,Flatwing,0,20,25000,0.0,533,1100.17552269827,446.0,1955.0,20902.0,149.82130669629538,103.20748879960783
C208B,Flatwing,0,20,25000,0.0,533,1037.4935350142189,446.0,1955.0,20902.0,149.82130669629538,96.68781174938448
C208B,Flatwing,0,20,25000,0.0,533,974.6994935066526,446.0,1955.0,20902.0,149.82130669629538,90.181452479236
C208B,Flatwing,0,0,25000,0.0,800,1226.6895144906143,425.0,1955.0,20901.0,177.29532653690558,128.10713980516732
C208B,Flatwing,0,0,25000,0.0,800,1166.7158962300366,425.0,1955.0,20901.0,167.93053163553697,121.26950928234004
C208B,Flatwing,0,0,25000,0.0,800,1106.450472548753,425.0,1955.0,20901.0,158.57377928968697,114.44715790521852
C208B,Flatwing,0,0,25000,0.0,800,1046.597209215205,425.0,1955.0,20901.0,149.21710447083544,107.63927863786714
C208B,Flatwing,0,0,25000,0.0,800,986.5374317743292,425.0,1955.0,20901.0,143.55529907303543,100.84505727769427
C208B,Flatwing,0,0,25000,0.0,800,926.6947259150414,425.0,1955.0,20901.0,143.55529907303543,94.06367287702052
C208B,Flatwing,0,20,25000,0.0,800,1202.6386122130789,430.0,1955.0,18900.0,171.18580834763353,122.85495858175423
C208B,Flatwing,0,20,25000,0.0,800,1143.442662122078,430.0,1955.0,18900.0,162.12961847986978,116.29021528260553
C208B,Flatwing,0,20,25000,0.0,800,1084.3324441367436,429.0,1955.0,18900.0,153.07197563888542,109.74133991778417
C208B,Flatwing,0,20,25000,0.0,800,1025.5107984053004,430.0,1955.0,18900.0,144.52341894737967,103.20748879960783
C208B,Flatwing,0,20,25000,0.0,800,966.7069900779886,430.0,1955.0,18900.0,144.52341894737967,96.68781174938448
C208B,Flatwing,0,20,25000,0.0,800,907.7515444415056,430.0,1955.0,18900.0,144.52341894737967,90.18145247923599
C208B,Flatwing,0,0,25000,0.0,1067,1224.5758576901724,425.0,1955.0,20903.0,177.29884503129875,128.10713980516735
C208B,Flatwing,0,0,25000,0.0,1067,1164.8117861453406,425.0,1955.0,20903.0,167.94656811165456,121.26950928234004
C208B,Flatwing,0,0,25000,0.0,1067,1105.0582426548697,425.0,1955.0,20903.0,158.58258160833296,114.44715790521852
C208B,Flatwing,0,0,25000,0.0,1067,1045.3182051898943,425.0,1955.0,20903.0,149.22104010799805,107.63927863786714
C208B,Flatwing,0,0,25000,0.0,1067,985.7858853774958,425.0,1955.0,20903.0,143.5611669429986,100.84505727769428
C208B,Flatwing,0,0,25000,0.0,1067,926.0789973841173,425.0,1955.0,20903.0,143.5611669429986,94.06367287702052
C208B,Flatwing,0,20,25000,0.0,1067,1200.6402020713958,429.0,1955.0,18900.0,171.178013325729,122.85495858175426
C208B,Flatwing,0,20,25000,0.0,1067,1141.934017365737,429.0,1955.0,18900.0,162.13397552882734,116.29021528260553
C208B,Flatwing,0,20,25000,0.0,1067,1083.1918241266358,429.0,1955.0,18900.0,153.06986519113664,109.74133991778419
C208B,Flatwing,0,20,25000,0.0,1067,1024.4622440125793,429.0,1955.0,18900.0,144.52314655634052,103.20748879960783
