# Flight Simulation Results - CJ3+ Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 4710 lb
# Payload: 0 lb
# Cruise Altitude: 25000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +20°C
# Approach VAPP: 108.6 kts
# Approach VREF: 83.1 kts
# Generated: 2025-11-11 12:29:35
# Original Data Points: 2699
# Sampled Data Points (2-sec intervals): 6746
# Time Range: 0 - 13490 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,0,0.0,1,1,30,5319,198,13190,4610,0,0.001,44.1,108.6,83.1
2,0,takeoff roll,24,0.0,15,14,568,5243,210,13188,4608,1428,0.022,43.2,108.6,83.1
4,0,takeoff roll,49,0.0,29,28,1134,5162,223,13186,4606,2931,0.044,42.3,108.6,83.1
6,0,takeoff roll,96,0.0,43,42,1654,5081,248,13184,4604,3668,0.066,41.3,108.6,83.1
8,0,takeoff roll,164,0.1,57,55,2129,5001,284,13182,4602,3641,0.087,40.2,108.6,83.1
10,0,takeoff roll,232,0.1,71,68,2603,4921,321,13180,4600,3614,0.108,39.1,108.6,83.1
12,0,takeoff roll,334,0.1,83,80,2801,4851,514,13178,4598,3557,0.127,36.0,108.6,83.1
14,1,1st segment climb,436,0.2,96,92,2999,4781,706,13176,4596,3501,0.146,32.9,108.6,83.1
16,1,1st segment climb,543,0.3,104,100,3156,4728,793,13174,4594,3515,0.159,31.3,108.6,83.1
18,3,3rd segment climb,656,0.3,109,104,3273,4692,773,13172,4592,3599,0.166,31.2,108.6,83.1
20,3,3rd segment climb,768,0.4,113,108,3390,4656,753,13170,4590,3683,0.173,31.0,108.6,83.1
22,3,3rd segment climb,882,0.4,114,109,3416,4639,748,13169,4588,3593,0.175,30.9,108.6,83.1
24,3,3rd segment climb,996,0.5,114,109,3413,4629,748,13167,4587,3445,0.175,30.8,108.6,83.1
26,3,3rd segment climb,1109,0.6,115,109,3410,4618,747,13165,4585,3333,0.175,30.8,108.6,83.1
28,3,3rd segment climb,1223,0.6,115,109,3407,4607,747,13163,4583,3325,0.176,30.7,108.6,83.1
30,3,3rd segment climb,1337,0.7,115,109,3404,4597,747,13161,4581,3317,0.176,30.6,108.6,83.1
32,3,3rd segment climb,1452,0.8,118,112,3491,4578,745,13159,4579,3308,0.181,30.4,108.6,83.1
34,4,climb IAS,1569,0.8,123,116,3607,4556,743,13158,4577,3299,0.188,30.3,108.6,83.1
36,4,climb IAS,1690,0.9,129,122,3749,4525,745,13156,4576,3283,0.198,30.0,108.6,83.1
38,4,climb IAS,1824,1.0,140,131,3968,4462,763,13154,4574,3246,0.214,29.3,108.6,83.1
40,4,climb IAS,1959,1.1,150,141,4186,4399,781,13152,4572,3210,0.231,28.6,108.6,83.1
42,4,climb IAS,2104,1.1,161,151,4341,4340,820,13150,4570,3168,0.247,27.8,108.6,83.1
44,4,climb IAS,2253,1.2,171,160,4473,4282,868,13149,4569,3125,0.262,26.9,108.6,83.1
46,4,climb IAS,2403,1.3,180,168,4588,4225,919,13147,4567,3083,0.277,26.0,108.6,83.1
48,4,climb IAS,2559,1.4,190,177,4649,4173,980,13145,4565,3043,0.291,25.0,108.6,83.1
50,4,climb IAS,2715,1.5,199,185,4709,4120,1041,13144,4564,3004,0.306,24.1,108.6,83.1
52,4,climb IAS,2872,1.7,207,192,4726,4072,1107,13142,4562,2967,0.319,23.2,108.6,83.1
