aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ1,Flatwing,0,20,41000,0.68,920,100,600,False,2630,10700,ok,,927.0,166,1930,37593,376.78147093766535,195.0,37593,True,0.6569536077405316,True,700
CJ1,Flatwing,0,20,41000,0.68,1150,100,600,False,2400,10700,ok,,799.0,146,1700,37593,374.8010770847786,194.0,37593,True,0.653500606500414,True,700
CJ1,Flatwing,0,-10,39000,0.7,0,100,600,False,3440,10590,ok,,1305.0,224,2740,39000,386.348637033078,210.0,39000,False,0.6736348534148286,True,700
CJ1,Flatwing,0,-10,39000,0.7,230,100,600,False,3320,10700,ok,,1238.0,214,2620,39000,385.03597097548624,205.0,39000,False,0.671346097812948,True,700
CJ1,Flatwing,0,-10,39000,0.7,460,100,600,False,3090,10700,ok,,1116.0,195,2390,39000,383.66273996761777,205.0,39000,False,0.6689517415760682,True,700
CJ1,Flatwing,0,-10,39000,0.7,690,100,600,False,2860,10700,ok,,995.0,176,2160,39000,382.21459532116495,204.0,39000,False,0.6664267664289365,True,700
CJ1,Flatwing,0,-10,39000,0.7,920,100,600,False,2630,10700,ok,,874.0,157,1930,39000,380.6999150794842,204.0,39000,False,0.6637857802709146,True,700
CJ1,Flatwing,0,-10,39000,0.7,1150,100,600,False,2400,10700,ok,,753.0,138,1700,39000,379.1007292066322,203.0,39000,False,0.6609974506696652,True,700
CJ1,Flatwing,0,-10,39000,0.69,0,100,600,False,3440,10590,ok,,1305.0,224,2740,39000,386.348637033078,210.0,39000,False,0.6736348534148286,True,700
CJ1,Flatwing,0,-10,39000,0.69,230,100,600,False,3320,10700,ok,,1238.0,214,2620,39000,385.03597097548624,205.0,39000,False,0.671346097812948,True,700
CJ1,Flatwing,0,-10,39000,0.69,460,100,600,False,3090,10700,ok,,1116.0,195,2390,39000,383.66273996761777,205.0,39000,False,0.6689517415760682,True,700
CJ1,Flatwing,0,-10,39000,0.69,690,100,600,False,2860,10700,ok,,995.0,176,2160,39000,382.21459532116495,204.0,39000,False,0.6664267664289365,True,700
CJ1,Flatwing,0,-10,39000,0.69,920,100,600,False,2630,10700,ok,,874.0,157,1930,39000,380.6999150794842,204.0,39000,False,0.6637857802709146,True,700
CJ1,Flatwing,0,-10,39000,0.69,1150,100,600,False,2400,10700,ok,,753.0,138,1700,39000,379.1007292066322,203.0,39000,False,0.6609974506696652,True,700
CJ1,Flatwing,0,-10,39000,0.68,0,100,600,False,3440,10590,ok,,1305.0,224,2740,39000,386.348637033078,210.0,39000,False,0.6736348534148286,True,700
CJ1,Flatwing,0,-10,39000,0.68,230,100,600,False,3320,10700,ok,,1238.0,214,2620,39000,385.03597097548624,205.0,39000,False,0.671346097812948,True,700
CJ1,Flatwing,0,-10,39000,0.68,460,100,600,False,3090,10700,ok,,1116.0,195,2390,39000,383.66273996761777,205.0,39000,False,0.6689517415760682,True,700
CJ1,Flatwing,0,-10,39000,0.68,690,100,600,False,2860,10700,ok,,995.0,176,2160,39000,382.21459532116495,204.0,39000,False,0.6664267664289365,True,700
CJ1,Flatwing,0,-10,39000,0.68,920,100,600,False,2630,10700,ok,,874.0,157,1930,39000,380.6999150794842,204.0,39000,False,0.6637857802709146,True,700
CJ1,Flatwing,0,-10,39000,0.68,1150,100,600,False,2400,10700,ok,,753.0,138,1700,39000,379.1007292066322,203.0,39000,False,0.6609974506696652,True,700
CJ1,Flatwing,0,0,39000,0.7,0,100,600,False,3440,10590,ok,,1352.0,233,2740,38996,384.797008793386,200.0,38996,False,0.6709294449790025,True,700
CJ1,Flatwing,0,0,39000,0.7,230,100,600,False,3320,10700,ok,,1282.0,222,2620,38997,383.3154905422835,199.0,38997,False,0.6683462798419987,True,700
CJ1,Flatwing,0,0,39000,0.7,460,100,600,False,3090,10700,ok,,1155.0,202,2390,38997,381.75346555850376,199.0,38997,False,0.6656227437139582,True,700
CJ1,Flatwing,0,0,39000,0.7,690,100,600,False,2860,10700,ok,,1029.0,182,2160,38997,380.1079440654081,198.0,38997,False,0.6627536236406874,True,700
CJ1,Flatwing,0,0,39000,0.7,920,100,600,False,2630,10700,ok,,903.0,162,1930,38997,378.373028868253,197.0,38997,False,0.6597286373135771,True,700
CJ1,Flatwing,0,0,39000,0.7,1150,100,600,False,2400,10700,ok,,778.0,142,1700,38997,376.5420392661125,197.0,38997,False,0.6565361363079727,True,700
CJ1,Flatwing,0,0,39000,0.69,0,100,600,False,3440,10590,ok,,1352.0,233,2740,38996,384.797008793386,200.0,38996,False,0.6709294449790025,True,700
CJ1,Flatwing,0,0,39000,0.69,230,100,600,False,3320,10700,ok,,1282.0,222,2620,38997,383.3154905422835,199.0,38997,False,0.6683462798419987,True,700
CJ1,Flatwing,0,0,39000,0.69,460,100,600,False,3090,10700,ok,,1155.0,202,2390,38997,381.75346555850376,199.0,38997,False,0.6656227437139582,True,700
CJ1,Flatwing,0,0,39000,0.69,690,100,600,False,2860,10700,ok,,1029.0,182,2160,38997,380.1079440654081,198.0,38997,False,0.6627536236406874,True,700
CJ1,Flatwing,0,0,39000,0.69,920,100,600,False,2630,10700,ok,,903.0,162,1930,38997,378.373028868253,197.0,38997,False,0.6597286373135771,True,700
CJ1,Flatwing,0,0,39000,0.69,1150,100,600,False,2400,10700,ok,,778.0,142,1700,38997,376.5420392661125,197.0,38997,False,0.6565361363079727,True,700
CJ1,Flatwing,0,0,39000,0.68,0,100,600,False,3440,10590,ok,,1352.0,233,2740,38996,384.797008793386,200.0,38996,False,0.6709294449790025,True,700
CJ1,Flatwing,0,0,39000,0.68,230,100,600,False,3320,10700,ok,,1282.0,222,2620,38997,383.3154905422835,199.0,38997,False,0.6683462798419987,True,700
CJ1,Flatwing,0,0,39000,0.68,460,100,600,False,3090,10700,ok,,1155.0,202,2390,38997,381.75346555850376,199.0,38997,False,0.6656227437139582,True,700
CJ1,Flatwing,0,0,39000,0.68,690,100,600,False,2860,10700,ok,,1029.0,182,2160,38997,380.1079440654081,198.0,38997,False,0.6627536236406874,True,700
CJ1,Flatwing,0,0,39000,0.68,920,100,600,False,2630,10700,ok,,903.0,162,1930,38997,378.373028868253,197.0,38997,False,0.6597286373135771,True,700
CJ1,Flatwing,0,0,39000,0.68,1150,100,600,False,2400,10700,ok,,778.0,142,1700,38997,376.5420392661125,197.0,38997,False,0.6565361363079727,True,700
CJ1,Flatwing,0,10,39000,0.7,0,100,600,False,3440,10590,ok,,1391.0,240,2740,38787,383.0846816168526,196.0,38787,False,0.6679438429708776,True,700
CJ1,Flatwing,0,10,39000,0.7,230,100,600,False,3320,10700,ok,,1309.0,227,2620,38570,382.0363555087663,197.0,38570,False,0.6661159887054278,True,700
CJ1,Flatwing,0,10,39000,0.7,460,100,600,False,3090,10700,ok,,1180.0,207,2390,38570,380.35474316230284,196.0,38570,False,0.6631839408659177,True,700
CJ1,Flatwing,0,10,39000,0.7,690,100,600,False,2860,10700,ok,,1051.0,186,2160,38570,378.5720380809108,196.0,38570,False,0.6600756284219874,True,700
CJ1,Flatwing,0,10,39000,0.7,920,100,600,False,2630,10700,ok,,922.0,166,1930,38570,376.6954742501813,195.0,38570,False,0.6568036645016675,True,700
