# Flight Simulation Results - C208B Flatwing
# Route: KSZT to KSAN
# Initial Fuel: 2200 lb
# Payload: 0 lb
# Cruise Altitude: 25000 ft
# Winds/Temps Source: No Wind
# ISA Dev: +0°C
# Approach VAPP: 80.3 kts
# Approach VREF: 54.4 kts
# Generated: 2025-11-07 09:40:53
# Original Data Points: 3692
# Sampled Data Points (2-sec intervals): 9228
# Time Range: 0 - 18454 seconds
# Exact 2-second intervals, no skipped rows
# 
Time (s),Segment,Segment Name,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
0,0,takeoff roll,2131,0.0,1,1,97,4877,202,6750,2150,0,0.002,104.5,80.3,54.4
2,0,takeoff roll,2168,0.0,18,17,556,3756,223,6750,2150,148,0.027,75.6,80.3,54.4
4,0,takeoff roll,2207,0.0,35,34,1039,2577,246,6750,2150,304,0.054,45.1,80.3,54.4
6,0,takeoff roll,2248,0.1,48,47,1331,1930,269,6749,2149,383,0.073,28.7,80.3,54.4
8,0,takeoff roll,2293,0.1,56,54,1432,1815,294,6749,2149,386,0.086,26.4,80.3,54.4
10,0,takeoff roll,2338,0.1,64,62,1533,1701,318,6749,2149,389,0.098,24.2,80.3,54.4
12,0,takeoff roll,2382,0.2,70,67,1445,1681,405,6749,2149,410,0.106,21.4,80.3,54.4
14,2,2nd segment climb,2426,0.2,75,72,1357,1661,492,6748,2148,431,0.114,18.6,80.3,54.4
16,2,2nd segment climb,2470,0.2,79,77,1281,1642,568,6748,2148,448,0.121,16.1,80.3,54.4
18,2,2nd segment climb,2513,0.3,79,77,1304,1639,545,6748,2148,423,0.121,16.4,80.3,54.4
20,3,3rd segment climb,2556,0.3,79,77,1328,1636,522,6748,2148,397,0.121,16.7,80.3,54.4
22,3,3rd segment climb,2600,0.4,80,77,1337,1633,513,6748,2148,387,0.121,16.8,80.3,54.4
24,3,3rd segment climb,2644,0.4,80,77,1336,1631,513,6747,2147,387,0.121,16.8,80.3,54.4
26,3,3rd segment climb,2689,0.5,80,77,1335,1629,513,6747,2147,387,0.122,16.8,80.3,54.4
28,3,3rd segment climb,2733,0.5,80,77,1333,1628,513,6747,2147,386,0.122,16.7,80.3,54.4
30,3,3rd segment climb,2778,0.5,80,77,1332,1626,513,6747,2147,386,0.122,16.7,80.3,54.4
32,3,3rd segment climb,2822,0.6,80,77,1331,1624,513,6747,2147,386,0.122,16.7,80.3,54.4
34,3,3rd segment climb,2866,0.6,80,77,1330,1622,513,6746,2146,385,0.122,16.7,80.3,54.4
36,3,3rd segment climb,2911,0.7,80,77,1328,1620,513,6746,2146,385,0.122,16.6,80.3,54.4
38,3,3rd segment climb,2955,0.7,80,77,1327,1619,513,6746,2146,385,0.122,16.6,80.3,54.4
40,3,3rd segment climb,2999,0.8,80,77,1326,1617,513,6746,2146,384,0.122,16.6,80.3,54.4
42,3,3rd segment climb,3043,0.8,80,77,1325,1615,513,6745,2145,384,0.122,16.6,80.3,54.4
44,3,3rd segment climb,3087,0.9,80,77,1323,1613,513,6745,2145,384,0.122,16.5,80.3,54.4
46,3,3rd segment climb,3132,0.9,80,77,1322,1611,513,6745,2145,384,0.123,16.5,80.3,54.4
48,3,3rd segment climb,3176,0.9,80,77,1321,1609,513,6745,2145,383,0.123,16.5,80.3,54.4
50,3,3rd segment climb,3220,1.0,80,77,1320,1608,513,6745,2145,383,0.123,16.4,80.3,54.4
52,3,3rd segment climb,3264,1.0,80,77,1318,1606,513,6744,2144,383,0.123,16.4,80.3,54.4
54,3,3rd segment climb,3307,1.1,80,77,1317,1604,513,6744,2144,382,0.123,16.4,80.3,54.4
56,3,3rd segment climb,3351,1.1,80,77,1316,1602,513,6744,2144,382,0.123,16.4,80.3,54.4
58,3,3rd segment climb,3395,1.2,80,77,1315,1601,513,6744,2144,382,0.123,16.3,80.3,54.4
60,3,3rd segment climb,3439,1.2,81,77,1314,1599,513,6744,2144,381,0.123,16.3,80.3,54.4
62,3,3rd segment climb,3483,1.3,81,77,1312,1597,513,6743,2143,381,0.123,16.3,80.3,54.4
64,3,3rd segment climb,3526,1.3,81,77,1311,1595,513,6743,2143,381,0.123,16.3,80.3,54.4
66,3,3rd segment climb,3570,1.3,81,77,1313,1592,512,6743,2143,381,0.124,16.2,80.3,54.4
68,3,3rd segment climb,3615,1.4,83,79,1341,1579,508,6743,2143,380,0.128,16.1,80.3,54.4
70,4,climb IAS,3659,1.4,86,81,1369,1566,504,6743,2143,380,0.131,15.9,80.3,54.4
72,4,climb IAS,3705,1.5,90,85,1397,1533,499,6742,2142,380,0.138,15.5,80.3,54.4
74,4,climb IAS,3753,1.5,96,91,1426,1488,494,6742,2142,379,0.147,14.9,80.3,54.4
76,4,climb IAS,3801,1.6,101,96,1452,1443,490,6742,2142,379,0.155,14.3,80.3,54.4
78,4,climb IAS,3849,1.7,107,101,1456,1412,499,6742,2142,379,0.163,13.7,80.3,54.4
80,4,climb IAS,3898,1.7,112,105,1460,1381,508,6741,2141,378,0.171,13.1,80.3,54.4
82,4,climb IAS,3946,1.8,114,108,1448,1359,516,6741,2141,378,0.175,12.6,80.3,54.4
84,4,climb IAS,3993,1.8,116,109,1424,1343,522,6741,2141,378,0.177,12.3,80.3,54.4
86,4,climb IAS,4040,1.9,117,110,1403,1329,528,6741,2141,377,0.179,12.0,80.3,54.4
88,4,climb IAS,4087,2.0,117,110,1401,1327,528,6741,2141,377,0.179,11.9,80.3,54.4
90,4,climb IAS,4134,2.0,117,110,1399,1325,528,6740,2140,377,0.179,11.9,80.3,54.4
92,4,climb IAS,4180,2.1,117,110,1397,1323,528,6740,2140,376,0.179,11.9,80.3,54.4
94,4,climb IAS,4227,2.2,117,110,1395,1322,528,6740,2140,376,0.18,11.9,80.3,54.4
96,4,climb IAS,4273,2.2,117,110,1393,1320,528,6740,2140,376,0.18,11.8,80.3,54.4
98,4,climb IAS,4320,2.3,117,110,1391,1318,528,6740,2140,375,0.18,11.8,80.3,54.4
100,4,climb IAS,4366,2.4,117,110,1389,1316,528,6739,2139,375,0.18,11.8,80.3,54.4
102,4,climb IAS,4412,2.4,117,110,1387,1315,528,6739,2139,375,0.18,11.7,80.3,54.4
104,4,climb IAS,4458,2.5,117,110,1385,1313,528,6739,2139,374,0.18,11.7,80.3,54.4
106,4,climb IAS,4505,2.6,118,110,1383,1311,528,6739,2139,374,0.18,11.7,80.3,54.4
108,4,climb IAS,4551,2.6,118,110,1381,1310,528,6739,2139,374,0.181,11.7,80.3,54.4
