aircraft,mod,flap,isa_dev,mach,cruise_alt,payload,total_dist_nm
CJ1,Flatwing,0,-10,0.7,41000,0,1401.2054054842863
CJ1,Flatwing,0,-10,0.68,41000,0,1401.2054054842863
CJ1,Flatwing,0,-10,0.7,39000,0,1310.564373319806
CJ1,Flatwing,0,-10,0.68,39000,0,1310.564373319806
CJ1,Flatwing,0,0,0.7,41000,0,1409.3203519448675
CJ1,Flatwing,0,0,0.68,41000,0,1409.3203519448675
CJ1,Flatwing,0,0,0.7,39000,0,1358.6725168402133
CJ1,Flatwing,0,0,0.68,39000,0,1358.6725168402133
CJ1,Flatwing,0,10,0.7,41000,0,1413.4526716716205
CJ1,Flatwing,0,10,0.68,41000,0,1413.4526716716205
CJ1,Flatwing,0,10,0.7,39000,0,1408.027360275227
CJ1,Flatwing,0,10,0.68,39000,0,1408.027360275227
CJ1,Flatwing,0,20,0.7,41000,0,1418.2249312874296
CJ1,Flatwing,0,20,0.68,41000,0,1418.2249312874296
CJ1,Flatwing,0,20,0.7,39000,0,1418.2249312874296
CJ1,Flatwing,0,20,0.68,39000,0,1418.2249312874296
CJ1,Tamarack,0,-10,0.7,41000,0,1428.971252008333
CJ1,Tamarack,0,-10,0.68,41000,0,1428.971252008333
CJ1,Tamarack,0,-10,0.7,39000,0,1327.0755578343726
CJ1,Tamarack,0,-10,0.68,39000,0,1327.0468782565645
CJ1,Tamarack,0,0,0.7,41000,0,1486.6143231541205
CJ1,Tamarack,0,0,0.68,41000,0,1486.6143231541205
CJ1,Tamarack,0,0,0.7,39000,0,1380.4284646580684
CJ1,Tamarack,0,0,0.68,39000,0,1380.4284646580684
CJ1,Tamarack,0,10,0.7,41000,0,1546.4056036061968
CJ1,Tamarack,0,10,0.68,41000,0,1546.4056036061968
CJ1,Tamarack,0,10,0.7,39000,0,1435.8509537364966
CJ1,Tamarack,0,10,0.68,39000,0,1435.8509537364966
CJ1,Tamarack,0,20,0.7,41000,0,1598.841233298795
CJ1,Tamarack,0,20,0.68,41000,0,1598.841233298795
CJ1,Tamarack,0,20,0.7,39000,0,1494.0132675535026
CJ1,Tamarack,0,20,0.68,39000,0,1494.0132675535026
