aircraft,mod,flap,isa_dev,cruise_alt,mach,kias,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
C208B,Flatwing,0,-10,25000,0.0,170.0,1600,100,250,False,2200,8300,ok,,1133.0,392,1850,20900,181.3165147225469,132.0,20900,True,0.2948459948648077,False,350
C208B,Flatwing,0,-10,25000,0.0,165.0,1600,100,250,False,2200,8300,ok,,1133.0,392,1850,20900,181.3165147225469,132.0,20900,True,0.2948459948648077,False,350
C208B,Flatwing,0,-10,25000,0.0,160.0,1600,100,250,False,2200,8300,ok,,1133.0,392,1850,20900,181.3165147225469,132.0,20900,True,0.2948459948648077,False,350
C208B,Flatwing,0,-10,25000,0.0,155.0,1600,100,250,False,2200,8300,ok,,1133.0,392,1850,20900,181.3165147225469,132.0,20900,True,0.2948459948648077,False,350
C208B,Flatwing,0,-10,25000,0.0,150.0,1600,100,250,False,2200,8300,ok,,1133.0,392,1850,20900,181.3165147225469,132.0,20900,True,0.2948459948648077,False,350
C208B,Flatwing,0,-10,25000,0.0,170.0,1867,100,250,False,2200,8567,ok,,1088.0,378,1850,18904,180.2381475832299,135.0,18904,True,0.29079528864791254,False,350
C208B,Flatwing,0,-10,25000,0.0,165.0,1867,100,250,False,2200,8567,ok,,1088.0,378,1850,18904,180.2381475832299,135.0,18904,True,0.29079528864791254,False,350
C208B,Flatwing,0,-10,25000,0.0,160.0,1867,100,250,False,2200,8567,ok,,1088.0,378,1850,18904,180.2381475832299,135.0,18904,True,0.29079528864791254,False,350
C208B,Flatwing,0,-10,25000,0.0,155.0,1867,100,250,False,2200,8567,ok,,1088.0,378,1850,18904,180.2381475832299,135.0,18904,True,0.29079528864791254,False,350
C208B,Flatwing,0,-10,25000,0.0,150.0,1867,100,250,False,2200,8567,ok,,1088.0,378,1850,18904,180.2381475832299,135.0,18904,True,0.29079528864791254,False,350
C208B,Flatwing,0,-10,25000,0.0,170.0,2133,100,250,False,2117,8750,ok,,1031.0,361,1767,18902,179.46797614201256,135.0,18902,True,0.2895498084320461,False,350
C208B,Flatwing,0,-10,25000,0.0,165.0,2133,100,250,False,2117,8750,ok,,1031.0,361,1767,18902,179.46797614201256,135.0,18902,True,0.2895498084320461,False,350
C208B,Flatwing,0,-10,25000,0.0,160.0,2133,100,250,False,2117,8750,ok,,1031.0,361,1767,18902,179.46797614201256,135.0,18902,True,0.2895498084320461,False,350
C208B,Flatwing,0,-10,25000,0.0,155.0,2133,100,250,False,2117,8750,ok,,1031.0,361,1767,18902,179.46797614201256,135.0,18902,True,0.2895498084320461,False,350
C208B,Flatwing,0,-10,25000,0.0,150.0,2133,100,250,False,2117,8750,ok,,1031.0,361,1767,18902,179.46797614201256,135.0,18902,True,0.2895498084320461,False,350
C208B,Flatwing,0,-10,25000,0.0,170.0,2400,100,250,False,1850,8750,ok,,867.0,306,1500,18902,178.65100617921925,134.0,18902,True,0.28823172650285356,False,350
C208B,Flatwing,0,-10,25000,0.0,165.0,2400,100,250,False,1850,8750,ok,,867.0,306,1500,18902,178.65100617921925,134.0,18902,True,0.28823172650285356,False,350
