aircraft,mod,flap,isa_dev,mach,cruise_alt,payload,total_dist_nm
C208B,Tamarack,0,20,0.0,25000,0,1322.8766810573707
C208B,Tamarack,0,20,0.0,23000,0,1322.8766810573707
C208B,Tamarack,0,20,0.0,23000,0,1322.8766810573707
C208B,Tamarack,0,20,0.0,23000,0,1322.8766810573707
C208B,Tamarack,0,20,0.0,21000,0,1273.5282743486955
C208B,Tamarack,0,20,0.0,21000,0,1273.5282743486955
C208B,Tamarack,0,20,0.0,21000,0,1273.5282743486955
C208B,Tamarack,0,20,0.0,19000,0,1223.1636163096073
C208B,Tamarack,0,20,0.0,19000,0,1223.1636163096073
C208B,Tamarack,0,20,0.0,19000,0,1223.1636163096073
