aircraft,mod,flap,isa_dev,cruise_alt,mach,kias,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
C208B,Flatwing,0,-10,24000,0.0,130.0,1714,100,250,False,2200,8414,ok,,1083.0,385,1850,19902,173.49170835332302,130.0,19902,True,0.28101026486645847,False,350
C208B,Flatwing,0,-10,24000,0.0,170.0,2057,100,250,False,2193,8750,ok,,1060.0,370,1843,17900,179.55453511083718,137.0,17900,True,0.28856052432191226,False,350
C208B,Flatwing,0,-10,24000,0.0,160.0,2057,100,250,False,2193,8750,ok,,1060.0,370,1843,17900,179.55453511083718,137.0,17900,True,0.28856052432191226,False,350
C208B,Flatwing,0,-10,24000,0.0,150.0,2057,100,250,False,2193,8750,ok,,1060.0,370,1843,17900,179.55453511083718,137.0,17900,True,0.28856052432191226,False,350
C208B,Flatwing,0,-10,24000,0.0,140.0,2057,100,250,False,2193,8750,ok,,1060.0,370,1843,17900,179.55453511083718,137.0,17900,True,0.28856052432191226,False,350
C208B,Flatwing,0,-10,24000,0.0,130.0,2057,100,250,False,2193,8750,ok,,1010.0,370,1843,17900,167.92112637145752,130.0,17900,True,0.2698645747965254,False,350
C208B,Flatwing,0,-10,24000,0.0,170.0,2400,100,250,False,1850,8750,ok,,853.0,301,1500,17900,178.5808304572925,137.0,17900,True,0.28699569208201314,False,350
C208B,Flatwing,0,-10,24000,0.0,160.0,2400,100,250,False,1850,8750,ok,,853.0,301,1500,17900,178.5808304572925,137.0,17900,True,0.28699569208201314,False,350
C208B,Flatwing,0,-10,24000,0.0,150.0,2400,100,250,False,1850,8750,ok,,853.0,301,1500,17900,178.5808304572925,137.0,17900,True,0.28699569208201314,False,350
C208B,Flatwing,0,-10,24000,0.0,140.0,2400,100,250,False,1850,8750,ok,,853.0,301,1500,17900,178.5808304572925,137.0,17900,True,0.28699569208201314,False,350
C208B,Flatwing,0,-10,24000,0.0,130.0,2400,100,250,False,1850,8750,ok,,815.0,301,1500,17900,167.92112637145752,130.0,17900,True,0.2698645747965254,False,350
C208B,Flatwing,0,0,24000,0.0,170.0,0,100,250,False,2200,6700,ok,,1275.0,425,1850,23904,186.97462110729958,127.0,23904,False,0.3092487337169444,False,350
C208B,Flatwing,0,0,24000,0.0,160.0,0,100,250,False,2200,6700,ok,,1275.0,425,1850,23904,186.97462110729958,127.0,23904,False,0.3092487337169444,False,350
C208B,Flatwing,0,0,24000,0.0,150.0,0,100,250,False,2200,6700,ok,,1275.0,425,1850,23904,186.97462110729958,127.0,23904,False,0.3092487337169444,False,350
C208B,Flatwing,0,0,24000,0.0,140.0,0,100,250,False,2200,6700,ok,,1275.0,425,1850,23904,186.97462110729958,127.0,23904,False,0.3092487337169444,False,350
C208B,Flatwing,0,0,24000,0.0,130.0,0,100,250,False,2200,6700,ok,,1275.0,425,1850,23904,186.97462110729958,127.0,23904,False,0.3092487337169444,False,350
C208B,Flatwing,0,0,24000,0.0,170.0,343,100,250,False,2200,7043,ok,,1265.0,425,1850,23905,185.98838143840408,126.0,23905,False,0.30761793166737766,False,350
C208B,Flatwing,0,0,24000,0.0,160.0,343,100,250,False,2200,7043,ok,,1265.0,425,1850,23905,185.98838143840408,126.0,23905,False,0.30761793166737766,False,350
C208B,Flatwing,0,0,24000,0.0,150.0,343,100,250,False,2200,7043,ok,,1265.0,425,1850,23905,185.98838143840408,126.0,23905,False,0.30761793166737766,False,350
C208B,Flatwing,0,0,24000,0.0,140.0,343,100,250,False,2200,7043,ok,,1265.0,425,1850,23905,185.98838143840408,126.0,23905,False,0.30761793166737766,False,350
C208B,Flatwing,0,0,24000,0.0,130.0,343,100,250,False,2200,7043,ok,,1265.0,425,1850,23905,185.98838143840408,126.0,23905,False,0.30761793166737766,False,350
C208B,Flatwing,0,0,24000,0.0,170.0,686,100,250,False,2200,7386,ok,,1209.0,410,1850,21904,184.46150785841215,129.0,21904,True,0.30261259320253786,False,350
C208B,Flatwing,0,0,24000,0.0,160.0,686,100,250,False,2200,7386,ok,,1209.0,410,1850,21904,184.46150785841215,129.0,21904,True,0.30261259320253786,False,350
C208B,Flatwing,0,0,24000,0.0,150.0,686,100,250,False,2200,7386,ok,,1209.0,410,1850,21904,184.46150785841215,129.0,21904,True,0.30261259320253786,False,350
C208B,Flatwing,0,0,24000,0.0,140.0,686,100,250,False,2200,7386,ok,,1209.0,410,1850,21904,184.46150785841215,129.0,21904,True,0.30261259320253786,False,350
C208B,Flatwing,0,0,24000,0.0,130.0,686,100,250,False,2200,7386,ok,,1207.0,410,1850,21904,182.92698896267385,129.0,21904,True,0.3000951859247328,False,350
C208B,Flatwing,0,0,24000,0.0,170.0,1029,100,250,False,2200,7729,ok,,1198.0,409,1850,21904,183.43987931856697,128.0,21904,True,0.3009348531346688,False,350
C208B,Flatwing,0,0,24000,0.0,160.0,1029,100,250,False,2200,7729,ok,,1198.0,409,1850,21904,183.43987931856697,128.0,21904,True,0.3009348531346688,False,350
C208B,Flatwing,0,0,24000,0.0,150.0,1029,100,250,False,2200,7729,ok,,1198.0,409,1850,21904,183.43987931856697,128.0,21904,True,0.3009348531346688,False,350
C208B,Flatwing,0,0,24000,0.0,140.0,1029,100,250,False,2200,7729,ok,,1198.0,409,1850,21904,183.43987931856697,128.0,21904,True,0.3009348531346688,False,350
C208B,Flatwing,0,0,24000,0.0,130.0,1029,100,250,False,2200,7729,ok,,1198.0,409,1850,21904,182.92260289708076,128.0,21904,True,0.3000862562837101,False,350
C208B,Flatwing,0,0,24000,0.0,170.0,1371,100,250,False,2200,8071,ok,,1147.0,394,1850,19906,182.04295566882143,132.0,19906,True,0.29625771831893466,False,350
C208B,Flatwing,0,0,24000,0.0,160.0,1371,100,250,False,2200,8071,ok,,1147.0,394,1850,19906,182.04295566882143,132.0,19906,True,0.29625771831893466,False,350
C208B,Flatwing,0,0,24000,0.0,150.0,1371,100,250,False,2200,8071,ok,,1147.0,394,1850,19906,182.04295566882143,132.0,19906,True,0.29625771831893466,False,350
C208B,Flatwing,0,0,24000,0.0,140.0,1371,100,250,False,2200,8071,ok,,1147.0,394,1850,19906,182.04295566882143,132.0,19906,True,0.29625771831893466,False,350
C208B,Flatwing,0,0,24000,0.0,130.0,1371,100,250,False,2200,8071,ok,,1132.0,394,1850,19906,176.9329758312527,130.0,19906,True,0.28794170871684954,False,350
C208B,Flatwing,0,0,24000,0.0,170.0,1714,100,250,False,2200,8414,ok,,1098.0,380,1850,17901,180.70737358660529,135.0,17901,True,0.2917646534900594,False,350
C208B,Flatwing,0,0,24000,0.0,160.0,1714,100,250,False,2200,8414,ok,,1098.0,380,1850,17901,180.70737358660529,135.0,17901,True,0.2917646534900594,False,350
C208B,Flatwing,0,0,24000,0.0,150.0,1714,100,250,False,2200,8414,ok,,1098.0,380,1850,17901,180.70737358660529,135.0,17901,True,0.2917646534900594,False,350
C208B,Flatwing,0,0,24000,0.0,140.0,1714,100,250,False,2200,8414,ok,,1098.0,380,1850,17901,180.70737358660529,135.0,17901,True,0.2917646534900594,False,350
C208B,Flatwing,0,0,24000,0.0,130.0,1714,100,250,False,2200,8414,ok,,1059.0,380,1850,17901,171.20382463146996,130.0,17901,True,0.27642051111895694,False,350
