aircraft,mod,flap,isa_dev,cruise_alt,mach,kias,ktas,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
C208B,Flatwing,0,0,25000,0.0,121.26950928234004,180.0,1067,15,230,False,2200,7852,ok,,1165.0,425.0,1955.0,20903.0,167.94656811165456,121.0,20903.0,True,0.2744094116277418,False,245.0
C208B,Flatwing,0,0,25000,0.0,114.44715790521852,170.0,1067,15,230,False,2200,7852,ok,,1105.0,425.0,1955.0,20903.0,158.58258160833296,114.0,20903.0,True,0.25910950966631385,False,245.0
C208B,Flatwing,0,0,25000,0.0,107.63927863786714,160.0,1067,15,230,False,2200,7852,ok,,1045.0,425.0,1955.0,20903.0,149.22104010799805,108.0,20903.0,True,0.24381360261730686,False,245.0
C208B,Flatwing,0,0,25000,0.0,100.84505727769427,150.0,1067,15,230,False,2200,7852,ok,,986.0,425.0,1955.0,20903.0,143.5611669429986,101.0,20903.0,True,0.2345658848308821,False,245.0
C208B,Flatwing,0,0,25000,0.0,94.06367287702052,140.0,1067,15,230,False,2200,7852,ok,,926.0,425.0,1955.0,20903.0,143.5611669429986,94.0,20903.0,True,0.2345658848308821,False,245.0
C208B,Flatwing,0,0,25000,0.0,128.10713980516732,190.0,1333,15,230,False,2200,8118,ok,,1144.0,410.0,1955.0,18907.0,171.53528377335746,128.0,18907.0,True,0.27805457138363154,False,245.0
C208B,Flatwing,0,0,25000,0.0,121.26950928234004,180.0,1333,15,230,False,2200,8118,ok,,1088.0,410.0,1955.0,18907.0,162.475554448672,121.0,18907.0,True,0.2633689679391792,False,245.0
C208B,Flatwing,0,0,25000,0.0,114.44715790521852,170.0,1333,15,230,False,2200,8118,ok,,1032.0,410.0,1955.0,18907.0,153.41554825425726,114.0,18907.0,True,0.24868291569555145,False,245.0
C208B,Flatwing,0,0,25000,0.0,107.63927863786714,160.0,1333,15,230,False,2200,8118,ok,,976.0,410.0,1955.0,18907.0,144.33606084791336,108.0,18907.0,True,0.23396528487570406,False,245.0
C208B,Flatwing,0,0,25000,0.0,100.84505727769427,150.0,1333,15,230,False,2200,8118,ok,,920.0,410.0,1955.0,18907.0,138.57260714934202,101.0,18907.0,True,0.2246228649805468,False,245.0
C208B,Flatwing,0,0,25000,0.0,94.06367287702052,140.0,1333,15,230,False,2200,8118,ok,,864.0,410.0,1955.0,18907.0,138.57260714934202,94.0,18907.0,True,0.2246228649805468,False,245.0
C208B,Flatwing,0,0,25000,0.0,128.10713980516732,190.0,1600,15,230,False,2200,8385,ok,,1143.0,409.0,1955.0,18904.0,171.52530427319303,128.0,18904.0,True,0.2780338344668073,False,245.0
C208B,Flatwing,0,0,25000,0.0,121.26950928234004,180.0,1600,15,230,False,2200,8385,ok,,1087.0,409.0,1955.0,18904.0,162.45755568142587,121.0,18904.0,True,0.263335473069736,False,245.0
C208B,Flatwing,0,0,25000,0.0,114.44715790521852,170.0,1600,15,230,False,2200,8385,ok,,1031.0,409.0,1955.0,18904.0,153.38568452348918,114.0,18904.0,True,0.24863042920161574,False,245.0
C208B,Flatwing,0,0,25000,0.0,107.63927863786714,160.0,1600,15,230,False,2200,8385,ok,,975.0,409.0,1955.0,18904.0,144.3261387281192,108.0,18904.0,True,0.23394536412222372,False,245.0
C208B,Flatwing,0,0,25000,0.0,100.84505727769427,150.0,1600,15,230,False,2200,8385,ok,,919.0,409.0,1955.0,18904.0,138.56416490936405,101.0,18904.0,True,0.22460549627173876,False,245.0
C208B,Flatwing,0,0,25000,0.0,94.06367287702052,140.0,1600,15,230,False,2200,8385,ok,,864.0,409.0,1955.0,18904.0,138.56416490936405,94.0,18904.0,True,0.22460549627173876,False,245.0
