aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts
C208B,Flatwing,0,-10,10000,0.5,0,1267.236391451752,423,1850,24547,204,127.0351213655854
C208B,Flatwing,0,-10,10000,0.5,480,1214.0053738964273,410,1850,22828,201,129.42656458153127
C208B,Flatwing,0,-10,10000,0.5,960,1163.5459891767239,397,1850,21096,197,131.8936911260801
C208B,Flatwing,0,-10,10000,0.5,1440,1116.1633100559484,385,1850,19358,194,134.42557445257694
C208B,Flatwing,0,-10,10000,0.5,1920,1071.1849198669327,373,1850,17600,191,137.05628170206705
C208B,Flatwing,0,-10,10000,0.5,2400,848.9395246032109,299,1500,17119,189,137.36529755436106
